window_lo,window_hi,order,n_rows,dom_root_re,dom_root_im,dom_root_abs,note
2,10,3,6,+0.5770,0.0000,0.5770,real
2,11,3,7,+0.7396,0.0000,0.7396,real
2,12,3,8,+1.0299,0.0000,1.0299,real (>1)
2,13,3,9,+1.1145,0.0000,1.1145,real (>1)
3,10,3,5,+0.1277,+0.7629,0.7735,complex
3,11,3,6,+0.3649,+0.4226,0.5586,complex
3,12,3,7,+0.9650,0.0000,0.9650,real
3,13,3,8,+1.1003,0.0000,1.1003,real (>1)
5,10,3,3,+0.6859,+0.6908,0.9735,complex
5,11,3,4,+0.8611,+0.6794,1.0966,complex (>1)
5,12,3,5,+0.9836,+0.5942,1.1493,complex (>1)
5,13,3,6,+1.0371,+0.4959,1.1496,complex (>1)
6,10,3,2,+0.5714,+0.7140,0.9148,complex
6,11,3,3,+1.8023,0.0000,1.8023,real (way >1)
6,12,3,4,+1.2052,0.0000,1.2052,real (>1)
6,13,3,5,+0.9837,+0.1832,1.0006,complex
2,13,4,8,+1.1452,0.0000,1.1452,real (>1)
2,13,5,7,+1.0486,+0.3488,1.1051,complex (>1)
