k,rank,lambda_real,lambda_imag,abs_lambda,arg_lambda
5,1,0.9999999999999998,0.0,0.9999999999999998,0.0
5,2,0.00034186168799432465,0.0,0.00034186168799432465,0.0
5,3,0.00010559500356126572,0.00032511487876210507,0.0003418332768611067,1.2567517560523553
5,4,0.00010559500356126572,-0.00032511487876210507,0.0003418332768611067,-1.2567517560523553
5,5,-0.0002765258475587866,0.00020087775303326153,0.0003417870916693568,2.513345217063458
5,6,-0.0002765258475587866,-0.00020087775303326153,0.0003417870916693568,-2.513345217063458
5,7,3.647432652350096e-05,3.6479584412651885e-05,5.158620527100981e-05,0.7854702347788773
5,8,3.647432652350096e-05,-3.6479584412651885e-05,5.158620527100981e-05,-0.7854702347788773
5,9,-3.647432652399922e-05,-3.64690682411661e-05,5.1578769215231794e-05,-2.3562665773613194
5,10,-3.647432652399922e-05,3.64690682411661e-05,5.1578769215231794e-05,2.3562665773613194
6,1,1.0000000000000004,0.0,1.0000000000000004,0.0
6,2,0.00035696074810421554,0.0002593953356331457,0.0004412560660606872,0.628406849970452
6,3,0.00035696074810421554,-0.0002593953356331457,0.0004412560660606872,-0.628406849970452
6,4,-0.00013639248602444442,0.00041956961635628107,0.00044118201823429426,1.8850979842446494
6,5,-0.00013639248602444442,-0.00041956961635628107,0.00044118201823429426,-1.8850979842446494
6,6,-0.00044113652589855985,0.0,0.00044113652589855985,3.141592653589793
6,7,0.00024443498266794514,0.0,0.00024443498266794514,0.0
6,8,-0.00024409475531178215,0.0,0.00024409475531178215,3.141592653589793
6,9,7.544779610826798e-05,0.0002317973408092124,0.00024376705508295609,1.2561209926281391
6,10,7.544779610826798e-05,-0.0002317973408092124,0.00024376705508295609,-1.2561209926281391
7,1,0.9999999999999996,0.0,0.9999999999999996,0.0
7,2,0.0018165206146429982,0.0,0.0018165206146429982,0.0
7,3,0.0010957240100730966,0.0014300127556388736,0.0018015403374725064,0.9169863266400649
7,4,0.0010957240100730966,-0.0014300127556388736,0.0018015403374725064,-0.9169863266400649
7,5,-0.00043825052834134095,0.0017081506508276106,0.0017634744601253102,1.8219435774088346
7,6,-0.00043825052834134095,-0.0017081506508276106,0.0017634744601253102,-1.8219435774088346
7,7,-0.0015657340411128467,0.0007289383043812187,0.0017270999215719199,2.705877176552821
7,8,-0.0015657340411128467,-0.0007289383043812187,0.0017270999215719199,-2.705877176552821
7,9,-0.0007160948058771799,0.0013499592112507998,0.0015281301132577545,2.058511325869557
7,10,-0.0007160948058771799,-0.0013499592112507998,0.0015281301132577545,-2.058511325869557
