k,rank,r_2,r_3,P,Q,P_minus_Q,z_cell
5,1,23,26,4.000000e-03,4.183408e-03,-1.834081e-04,-2.8357
5,2,23,20,4.348000e-03,4.181276e-03,+1.667243e-04,2.5784
5,3,29,80,5.483000e-03,5.623287e-03,-1.402874e-04,-1.8708
5,4,9,20,4.030000e-03,4.149407e-03,-1.194075e-04,-1.8537
5,5,21,80,5.681000e-03,5.565913e-03,+1.150867e-04,1.5426
10,1,31,80,5.700011e-03,5.532924e-03,+1.670876e-04,2.2463
10,2,5,74,2.564005e-03,2.407650e-03,+1.563552e-04,3.1865
10,3,9,74,2.560005e-03,2.427268e-03,+1.327370e-04,2.6942
10,4,5,80,5.407011e-03,5.538632e-03,-1.316212e-04,-1.7686
10,5,17,56,2.412005e-03,2.287815e-03,+1.241897e-04,2.5964
15,1,13,20,4.359166e-03,4.191133e-03,+1.680328e-04,2.5955
15,2,25,80,5.758219e-03,5.601363e-03,+1.568556e-04,2.0958
15,3,21,80,5.465208e-03,5.606203e-03,-1.409951e-04,-1.8830
15,4,25,56,2.387091e-03,2.264360e-03,+1.227311e-04,2.5791
15,5,15,20,4.050154e-03,4.167477e-03,-1.173233e-04,-1.8174
20,1,1,71,4.028092e-03,4.204766e-03,-1.766747e-04,-2.7242
20,2,29,80,5.483486e-03,5.650337e-03,-1.668506e-04,-2.2194
20,3,11,26,4.337175e-03,4.178910e-03,+1.582652e-04,2.4479
20,4,19,44,2.292621e-03,2.435724e-03,-1.431027e-04,-2.8992
20,5,13,13,2.227604e-03,2.089058e-03,+1.385454e-04,3.0308
25,1,5,5,1.405828e-03,1.091876e-03,+3.139515e-04,9.4950
25,2,13,13,2.351056e-03,2.120101e-03,+2.309552e-04,5.0126
25,3,11,11,1.123460e-03,9.153401e-04,+2.081204e-04,6.8745
25,4,17,17,1.781316e-03,1.582966e-03,+1.983499e-04,4.9821
25,5,27,20,3.984179e-03,4.177490e-03,-1.933103e-04,-2.9889
30,1,5,5,1.854691e-03,1.114468e-03,+7.402232e-04,22.1272
30,2,11,11,1.665909e-03,9.425732e-04,+7.233353e-04,23.5115
30,3,17,17,2.221211e-03,1.626797e-03,+5.944140e-04,14.7069
30,4,13,13,2.555598e-03,2.107705e-03,+4.478926e-04,9.7357
30,5,1,80,5.993857e-03,5.621821e-03,+3.720353e-04,4.9516
30,6,25,40,3.145042e-03,2.787235e-03,+3.578072e-04,6.7633
30,7,19,19,9.840810e-04,6.415719e-04,+3.425091e-04,13.4942
30,8,11,26,4.562922e-03,4.237109e-03,+3.258138e-04,4.9950
30,9,7,71,4.572964e-03,4.248478e-03,+3.244858e-04,4.9679
30,10,5,37,1.524321e-03,1.217474e-03,+3.068474e-04,8.7759
40,1,5,5,3.901510e-03,1.251729e-03,+2.649780e-03,74.0409
40,2,17,17,4.066247e-03,1.724781e-03,+2.341466e-03,55.7363
40,3,11,11,2.636819e-03,9.723789e-04,+1.664440e-03,52.7676
40,4,13,13,3.848303e-03,2.217199e-03,+1.631103e-03,34.2449
40,5,9,56,3.576128e-03,2.244705e-03,+1.331423e-03,27.7814
50,1,17,17,7.071312e-03,1.885868e-03,+5.185444e-03,115.1755
50,2,5,5,5.941665e-03,1.386073e-03,+4.555592e-03,118.0271
50,3,13,13,6.392019e-03,2.314257e-03,+4.077762e-03,81.7610
50,4,11,11,4.761500e-03,1.079673e-03,+3.681827e-03,108.0805
50,5,9,56,5.653610e-03,2.286539e-03,+3.367071e-03,67.9193
60,1,5,5,8.968010e-03,1.705249e-03,+7.262761e-03,162.3117
60,2,13,13,9.293244e-03,2.432658e-03,+6.860586e-03,128.3697
60,3,17,17,7.934775e-03,1.819814e-03,+6.114961e-03,132.2885
60,4,11,11,7.048306e-03,1.190963e-03,+5.857344e-03,156.6367
60,5,7,22,6.201758e-03,1.443577e-03,+4.758181e-03,115.5747
60,6,27,8,5.834255e-03,1.333109e-03,+4.501146e-03,113.7711
60,7,9,71,9.029064e-03,4.627592e-03,+4.401472e-03,59.7121
60,8,29,29,5.217836e-03,1.057254e-03,+4.160583e-03,118.0881
60,9,27,10,6.302733e-03,2.250604e-03,+4.052130e-03,78.8271
60,10,29,40,7.048306e-03,3.250831e-03,+3.797475e-03,61.4667
